Loading mkl version 2023.0.0
Loading tbb version 2021.8.0
Loading compiler-rt version 2023.0.0
Loading mpi version 2021.8.0
Loading compiler version 2023.0.0
Loading oclfpga version 2023.0.0
  Load "debugger" to debug DPC++ applications with the gdb-oneapi debugger.
  Load "dpl" for additional DPC++ APIs: https://github.com/oneapi-src/oneDPL

Loading abacus/3.4.1-dev-icx
  Loading requirement: tbb/latest compiler-rt/latest mkl/latest mpi/latest
    oclfpga/latest compiler/latest
NMAX is 6
 ===== Make Initial NEB Guess =====
--- Successfully make guessed image chain by idpp method ! ---
===== Running NEB =====
----- Running ASE-NEB -----
----- improvedtangent method is being used -----
----- Parallel calculation is being used -----
      Step     Time          Energy          fmax
FIRE:    0 12:37:59  -239253.360790         4.208734
FIRE:    1 12:42:40  -239253.429770         3.849833
FIRE:    2 12:47:22  -239253.573330         3.649455
FIRE:    3 12:51:58  -239253.769550         3.160982
FIRE:    4 12:56:57  -239254.005130         6.188047
FIRE:    5 13:01:38  -239254.272220         3.973892
FIRE:    6 13:06:21  -239254.534650         7.026348
FIRE:    7 13:11:07  -239254.538070         5.831710
FIRE:    8 13:15:50  -239254.545400         3.780078
FIRE:    9 13:20:26  -239254.557990         2.091937
FIRE:   10 13:25:11  -239254.578060         1.940355
FIRE:   11 13:29:56  -239254.607660         1.757125
FIRE:   12 13:34:39  -239254.646320         1.869724
FIRE:   13 13:39:07  -239254.691350         2.310178
FIRE:   14 13:43:41  -239254.744100         2.284214
FIRE:   15 13:48:16  -239254.803030         1.757761
FIRE:   16 13:53:02  -239254.870650         1.094625
FIRE:   17 13:57:44  -239254.945220         1.008980
FIRE:   18 14:02:28  -239255.009370         3.200799
FIRE:   19 14:07:11  -239255.009990         2.699738
FIRE:   20 14:12:00  -239255.011220         1.853537
FIRE:   21 14:16:36  -239255.013070         0.884039
FIRE:   22 14:21:09  -239255.015640         0.487149
FIRE:   23 14:25:44  -239255.019010         0.671698
FIRE:   24 14:30:28  -239255.019130         0.659013
FIRE:   25 14:35:01  -239255.019370         0.634005
FIRE:   26 14:39:35  -239255.019750         0.596991
FIRE:   27 14:44:18  -239255.020250         0.547861
FIRE:   28 14:48:57  -239255.020860         0.487564
FIRE:   29 14:53:35  -239255.021600         0.467878
FIRE:   30 14:58:05  -239255.022460         0.465033
FIRE:   31 15:02:56  -239255.023540         0.461332
FIRE:   32 15:07:30  -239255.024910         0.456927
FIRE:   33 15:12:17  -239255.026600         0.451289
FIRE:   34 15:16:52  -239255.028690         0.444433
FIRE:   35 15:21:30  -239255.031230         0.436037
FIRE:   36 15:25:56  -239255.034250         0.426129
FIRE:   37 15:30:28  -239255.037860         0.414518
FIRE:   38 15:35:00  -239255.042120         0.401087
FIRE:   39 15:39:44  -239255.047130         0.385775
FIRE:   40 15:44:27  -239255.053070         0.368353
FIRE:   41 15:49:04  -239255.059990         0.348988
FIRE:   42 15:53:47  -239255.068020         0.327832
FIRE:   43 15:58:29  -239255.077120         0.304402
FIRE:   44 16:03:00  -239255.087370         0.277910
FIRE:   45 16:07:40  -239255.098390         0.246393
FIRE:   46 16:12:13  -239255.109480         0.210130
FIRE:   47 16:16:50  -239255.119660         0.207900
FIRE:   48 16:21:30  -239255.127990         0.243097
FIRE:   49 16:26:03  -239255.133210         0.262817
FIRE:   50 16:30:49  -239255.134960         0.289917
FIRE:   51 16:35:20  -239255.133180         0.219005
FIRE:   52 16:39:56  -239255.128750         0.183079
FIRE:   53 16:44:46  -239255.124140         0.265210
FIRE:   54 16:49:30  -239255.123320         0.248825
FIRE:   55 16:54:09  -239255.130540         0.261393
FIRE:   56 16:58:53  -239255.148400         0.345471
FIRE:   57 17:03:29  -239255.175030         0.397925
FIRE:   58 17:08:14  -239255.177020         0.391776
FIRE:   59 17:12:43  -239255.180380         0.388831
FIRE:   60 17:17:15  -239255.183870         0.386923
FIRE:   61 17:21:49  -239255.185950         0.386907
FIRE:   62 17:26:22  -239255.184800         0.388483
FIRE:   63 17:30:58  -239255.178830         0.389863
FIRE:   64 17:35:26  -239255.166610         0.388192
FIRE:   65 17:39:57  -239255.145450         0.374543
FIRE:   66 17:44:17  -239255.115270         0.334083
FIRE:   67 17:48:45  -239255.086530         0.280962
